_;id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
11020;16465773;Gemütliche Wohnung nähe Schloss Charlottenburg;89268468;Renan;Charlottenburg-Wilm.;Schloß Charlottenburg;52.51959214701782;13.295083171403824;Entire home/apt;99;3;0;;;1;0
11022;16468199;Modern & Cozy apartment in P-Berg;1565883;Karl;Pankow;Prenzlauer Berg Nordwest;52.54654292011431;13.409568053788748;Entire home/apt;79;50;5;16/04/2017;0.22;1;0
11025;16473181;uncomplicated flat in the heart of Berlin Mitte;108115661;Anna;Mitte;Alexanderplatz;52.52344395877454;13.404848327580796;Entire home/apt;75;3;6;01/01/2018;0.27;1;0
11026;16476906;Wunderbare Wohnung im Prenzlauer kietz;89057986;Birgit;Pankow;Prenzlauer Berg Südwest;52.5406605512425;13.410391749891318;Entire home/apt;145;3;7;15/10/2018;0.43;7;0
11027;16478574;Observatory Berlin-Zehlendorf;65506128;Tan;Steglitz - Zehlendorf;Zehlendorf  Nord;52.44388587067112;13.242288173828523;Entire home/apt;105;3;11;21/10/2018;0.5;1;41
11028;16479631;sunny roof top with panoramic view;45465596;Steffen;Mitte;Brunnenstr. Süd;52.536916764790455;13.406091414334634;Entire home/apt;115;1;53;31/08/2018;2.5;4;244
11030;16484124;Central in Prenzlauer Berg;108229492;Hubertus;Pankow;Prenzlauer Berg Süd;52.54063752569623;13.425081994154745;Entire home/apt;81;2;7;01/01/2018;0.35;1;0
11034;16486301;Cozy Flat Berlin Neükolln;108248853;Andrea;Neukölln;Reuterstraße;52.485758175903065;13.432416600932532;Entire home/apt;100;3;1;01/01/2017;0.04;1;0
11042;16513064;cosy apartment in Neukölln;2968551;Friederike;Neukölln;Neuköllner Mitte/Zentrum;52.47832122395796;13.435534909338104;Entire home/apt;199;2;0;;;2;61
11044;16513443;Small and sweet!;50961564;Sandra;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.50099685305294;13.453388426999837;Entire home/apt;150;4;0;;;1;0
11045;16513736;Summer renter for fabulous Berlin flat wanted;9802683;Antonia;Tempelhof - Schöneberg;Schöneberg-Süd;52.48943262202136;13.342461921539178;Entire home/apt;180;2;2;06/08/2017;0.13;1;338
11048;16519301;Warm and modern flat with balcony in Kreuzberg;101008901;U.;Friedrichshain-Kreuzberg;Südliche Friedrichstadt;52.50220039046403;13.398900426214116;Entire home/apt;95;2;14;28/10/2018;0.66;1;28
11051;16525958;Cosy Apartment / Modern Design  120 sqm;40060996;Christoph;Mitte;Osloer Straße;52.555235821507445;13.38677033126992;Entire home/apt;1050;2;2;23/02/2017;0.09;1;364
11052;16527188;Bright & spacious apartment in Kreuzkölln;10009784;Aga;Neukölln;Reuterstraße;52.48425856486126;13.436795662922885;Entire home/apt;89;3;23;26/08/2018;3.11;1;0
11063;16537114;Cozy Apartment at Ideal Location;108585765;Düzgün;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52.49426126060812;13.402921215681252;Entire home/apt;80;60;0;;;2;311
11066;16539226;Cozy room near KaDeWe;44764137;Vladimir;Tempelhof - Schöneberg;Schöneberg-Nord;52.50121187015466;13.343926271774375;Entire home/apt;70;2;0;;;1;0
11069;16543844;TempelCasa;1836439;Alexander;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52.495260021100975;13.401150521719492;Entire home/apt;99;4;73;04/11/2018;3.24;2;318
11070;16543873;BERLIN CITY SKYLINE EVENTLOCATION THE WEST VIEW;7479020;Oksana;Tempelhof - Schöneberg;Schöneberg-Nord;52.50218947035443;13.34316286851518;Entire home/apt;1250;1;5;07/09/2018;0.3;3;364
11074;16550265;Huge room in the <3 of Neukölln;64734335;Alex;Neukölln;Neuköllner Mitte/Zentrum;52.47765708406773;13.438442407523958;Private room;70;1;1;28/05/2017;0.06;1;0
11075;16550598;Cozy and Clean Room in Central Location;108955684;Marie;Lichtenberg;Frankfurter Allee Süd;52.51041569885507;13.476798192795306;Private room;80;10;3;01/09/2018;0.29;2;0
11079;16553787;Bright, quiet appartment close to water;108989627;Marcello;Treptow - Köpenick;Alt  Treptow;52.4936060373314;13.446220162472734;Private room;70;3;3;10/09/2018;0.18;1;30
11081;16554793;Quiet appartment with terrace near Tegel;37306049;Hannah;Reinickendorf;Nord 2;52.601689749881295;13.309297898607229;Entire home/apt;80;3;7;05/06/2017;0.36;1;71
11082;16554978;Modern Logan Square;83511028;Johann;Pankow;Schönholz/Wilhelmsruh/Rosenthal;52.57279195040214;13.397972047421266;Private room;77;1;0;;;1;365
